REF_AREA_LABEL,REF_AREA,TIME_PERIOD,crime_rank,UNIT_MEASURE,poverty,UNIT_MEASURE_LABEL_x,SEX,unemployment,UNIT_MEASURE_LABEL_y,COMP_BREAKDOWN_1
Colombia,COL,2017,129,RANK,35.9,Percentage of population,_T,10.895,Percentage,EINT
Costa Rica,CRI,2019,77,RANK,23.9,Percentage of population,F,6.874,Percentage,EADV
Costa Rica,CRI,2019,77,RANK,23.9,Percentage of population,M,5.327,Percentage,EADV
Costa Rica,CRI,2019,77,RANK,23.9,Percentage of population,_T,6.097,Percentage,EADV
Costa Rica,CRI,2019,77,RANK,23.9,Percentage of population,F,17.097,Percentage,EBAS
Costa Rica,CRI,2019,77,RANK,23.9,Percentage of population,M,8.935,Percentage,EBAS
Costa Rica,CRI,2019,77,RANK,23.9,Percentage of population,_T,11.838,Percentage,EBAS
Costa Rica,CRI,2019,77,RANK,23.9,Percentage of population,F,16.908,Percentage,EINT
Costa Rica,CRI,2019,77,RANK,23.9,Percentage of population,M,11.169,Percentage,EINT
Costa Rica,CRI,2019,77,RANK,23.9,Percentage of population,_T,13.813,Percentage,EINT
Costa Rica,CRI,2018,81,RANK,22.9,Percentage of population,F,5.856,Percentage,EADV
Costa Rica,CRI,2018,81,RANK,22.9,Percentage of population,M,4.383,Percentage,EADV
Costa Rica,CRI,2018,81,RANK,22.9,Percentage of population,_T,5.107,Percentage,EADV
Costa Rica,CRI,2018,81,RANK,22.9,Percentage of population,F,12.665,Percentage,EBAS
Costa Rica,CRI,2018,81,RANK,22.9,Percentage of population,M,7.967,Percentage,EBAS
Costa Rica,CRI,2018,81,RANK,22.9,Percentage of population,_T,9.585,Percentage,EBAS
Costa Rica,CRI,2018,81,RANK,22.9,Percentage of population,F,16.02,Percentage,EINT
Costa Rica,CRI,2018,81,RANK,22.9,Percentage of population,M,9.598,Percentage,EINT
Costa Rica,CRI,2018,81,RANK,22.9,Percentage of population,_T,12.346,Percentage,EINT
Costa Rica,CRI,2017,73,RANK,22.1,Percentage of population,F,5.333,Percentage,EADV
Costa Rica,CRI,2017,73,RANK,22.1,Percentage of population,M,3.386,Percentage,EADV
Costa Rica,CRI,2017,73,RANK,22.1,Percentage of population,_T,4.353,Percentage,EADV
Costa Rica,CRI,2017,73,RANK,22.1,Percentage of population,F,11.309,Percentage,EBAS
Costa Rica,CRI,2017,73,RANK,22.1,Percentage of population,M,7.055,Percentage,EBAS
Costa Rica,CRI,2017,73,RANK,22.1,Percentage of population,_T,8.481,Percentage,EBAS
Costa Rica,CRI,2017,73,RANK,22.1,Percentage of population,F,12.181,Percentage,EINT
Costa Rica,CRI,2017,73,RANK,22.1,Percentage of population,M,7.704,Percentage,EINT
Costa Rica,CRI,2017,73,RANK,22.1,Percentage of population,_T,9.566,Percentage,EINT
Cyprus,CYP,2019,36,RANK,14.3,Percentage of population,F,7.621,Percentage,EADV
Cyprus,CYP,2019,36,RANK,14.3,Percentage of population,M,4.559,Percentage,EADV
